,Name,Album,Artist,link
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://www.youtube.com/watch?v=8UHVzY2Tyrs
1,Fearless,Fearless,Lost Sky,https://www.youtube.com/watch?v=8UHVzY2Tyrs
2,Ark,Ark,Star Party,https://www.youtube.com/watch?v=8UHVzY2Tyrs
3,Supersonic,Supersonic,Rob Gasser,https://www.youtube.com/watch?v=8UHVzY2Tyrs
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://www.youtube.com/watch?v=8UHVzY2Tyrs
5,Mortals,Mortals,Warriyo,https://www.youtube.com/watch?v=8UHVzY2Tyrs
