,Name,Album,Artist,link
0,kalip ,Sick Thoughts,Lewis Blissett,https://www.youtube.com/watch?v=-rc8_QbLqOY
1,Mo Bamba,MUDBOY,Sheck Wes,https://www.youtube.com/watch?v=8UHVzY2Tyrs
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=8UHVzY2Tyrs
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://www.youtube.com/watch?v=8UHVzY2Tyrs
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://www.youtube.com/watch?v=8UHVzY2Tyrs
5,Rasputin,Rasputin,Majestic,https://www.youtube.com/watch?v=8UHVzY2Tyrs
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://www.youtube.com/watch?v=8UHVzY2Tyrs
