,Name,Album,Artist,link
0,avale vendra,Get You The Moon (feat. Snøw),Kina,https://www.youtube.com/watch?v=q6WbiFN4voQ
1,Jocelyn Flores,17,XXXTENTACION,https://www.youtube.com/watch?v=8UHVzY2Tyrs
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://www.youtube.com/watch?v=8UHVzY2Tyrs
3,how to live,how to live,yaeow,https://www.youtube.com/watch?v=8UHVzY2Tyrs
4,It's You,YOU,Ali Gatie,https://www.youtube.com/watch?v=8UHVzY2Tyrs
5,Loosing Interest,Passion & Confusion,Timmies,https://www.youtube.com/watch?v=8UHVzY2Tyrs
