,Name,Album,Artist,link
0,pani palli,SOUR,Olivia Rodrigo,https://www.youtube.com/watch?v=43zYOj0z2wg
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://www.youtube.com/watch?v=8UHVzY2Tyrs
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=8UHVzY2Tyrs
3,Yonaguni,Yonaguni,Bad Bunny,https://www.youtube.com/watch?v=8UHVzY2Tyrs
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://www.youtube.com/watch?v=8UHVzY2Tyrs
